field,type
name,s
model_type,i
graph_car_model,s
graph_car_model_rot1,f
graph_car_model_rot2,f
graph_car_model_rot3,f
graph_car_model_scale1,f
graph_car_model_scale2,f
graph_car_model_scale3,f
graph_body_color,i
graph_wheels_color,i
graph_body_ride_height,f
graph_front_wheel_distance,f
graph_front_wheel_semitrack,f
graph_front_wheel_camber,f
graph_front_wheel_toe,f
graph_front_wheel_height,f
graph_rear_wheel_distance,f
graph_rear_wheel_semitrack,f
graph_rear_wheel_camber,f
graph_rear_wheel_toe,f
graph_rear_wheel_height,f
engine_no_lambda_v,i
engine_no_rpm_v,i
engine_lambda_v,f
engine_rpm_v,f
engine_torque_map,f
engine_Jm,f
engine_fv_0,f
engine_fv_1,f
clutch_ef_thr,f
clutch_sp_thr,f
clutch_kf,f
clutch_J,f
clutch_r,f
gearbox_ratio_number,i
gearbox_ratios,f
gearbox_efficiencies,f
gearbox_has_reverse,b
differential_final_drive,f
differential_td_a,f
differential_r,f
differential_diff_type,i
brakef_f,f
brakef_R1,f
brakef_R2,f
brakef_alpha,f
brakef_max_Q,f
braker_f,f
braker_R1,f
braker_R2,f
braker_alpha,f
braker_max_Q,f
brakedistr_len,i
brakedistr_x,f
brakedistr_y,f
wheelf_pacejka_std_file,s
wheelf_R,f
wheelf_J,f
wheelf_width,f
wheelr_pacejka_std_file,s
wheelr_R,f
wheelr_J,f
wheelr_width,f
body_wheelbase,f
body_front_weight_distr,f
body_mass,f
body_Jz,f
body_Jx,f
body_Jy,f
body_drag_coeff,f
body_lift_coeff,f
body_front_surface,f
body_z_cog,f
body_xb,f
body_yb,f
body_zb,f
susp_f_p,f
susp_f_s,f
susp_f_h,f
susp_f_d,f
susp_f_l_ind,f
susp_f_ks,f
susp_f_kp,f
susp_f_rs,f
susp_f_rp,f
susp_f_r_ind,f
susp_r_p,f
susp_r_s,f
susp_r_h,f
susp_r_d,f
susp_r_l_ind,f
susp_r_ks,f
susp_r_kp,f
susp_r_rs,f
susp_r_rp,f
susp_r_r_ind,f
steering_scalar_sensitivity,f
